"Estacion","Fecha inicial","Fecha final","PM10"
"ALMACÉN GENERAL DE EPM","2025-04-10","","29.33333333"
"ALMACÉN GENERAL DE EPM","2025-04-09","","39.95833333"
"ALMACÉN GENERAL DE EPM","2025-04-08","","36.875"
"ALMACÉN GENERAL DE EPM","2025-04-07","","38.91666667"
"ALMACÉN GENERAL DE EPM","2025-04-06","","34.08333333"
"ALMACÉN GENERAL DE EPM","2025-04-05","","38.81818182"
"ALMACÉN GENERAL DE EPM","2025-04-04","","37.875"
"ALMACÉN GENERAL DE EPM","2025-04-03","","45.16666667"
"ALMACÉN GENERAL DE EPM","2025-04-02","","40.875"
"ALMACÉN GENERAL DE EPM","2025-04-01","","37.33333333"
"ALMACÉN GENERAL DE EPM","2025-03-31","","46.06666667"
"ALMACÉN GENERAL DE EPM","2025-03-30","","51.29166667"
"ALMACÉN GENERAL DE EPM","2025-03-29","","54.33333333"
"ALMACÉN GENERAL DE EPM","2025-03-28","","60.20833333"
"ALMACÉN GENERAL DE EPM","2025-03-27","","55.125"
"ALMACÉN GENERAL DE EPM","2025-03-26","","59.625"
"ALMACÉN GENERAL DE EPM","2025-03-25","","61.45833333"
"ALMACÉN GENERAL DE EPM","2025-03-24","","36.875"
"ALMACÉN GENERAL DE EPM","2025-03-23","","34.95833333"
"ALMACÉN GENERAL DE EPM","2025-03-22","","30.29166667"
"ALMACÉN GENERAL DE EPM","2025-03-21","","31.54166667"
"ALMACÉN GENERAL DE EPM","2025-03-20","","34.625"
"ALMACÉN GENERAL DE EPM","2025-03-19","","33.70833333"
"ALMACÉN GENERAL DE EPM","2025-03-18","","49.58333333"
"ALMACÉN GENERAL DE EPM","2025-03-17","","55.45833333"
"ALMACÉN GENERAL DE EPM","2025-03-16","","36.29166667"
"ALMACÉN GENERAL DE EPM","2025-03-15","","53.91666667"
"ALMACÉN GENERAL DE EPM","2025-03-14","","47.5"
"ALMACÉN GENERAL DE EPM","2025-03-13","","50.66666667"
"ALMACÉN GENERAL DE EPM","2025-03-12","","69.36363636"
"ALMACÉN GENERAL DE EPM","2025-03-11","","52.16666667"
"ALMACÉN GENERAL DE EPM","2025-03-10","","50.83333333"
"ALMACÉN GENERAL DE EPM","2025-03-09","","40.7826087"
"ALMACÉN GENERAL DE EPM","2025-03-08","","39.95833333"
"ALMACÉN GENERAL DE EPM","2025-03-07","","38.91666667"
"ALMACÉN GENERAL DE EPM","2025-03-06","","41.66666667"
"ALMACÉN GENERAL DE EPM","2025-03-05","","53.70833333"
"ALMACÉN GENERAL DE EPM","2025-03-04","","61.70833333"
"ALMACÉN GENERAL DE EPM","2025-03-03","","43.58333333"
"ALMACÉN GENERAL DE EPM","2025-03-02","","31.875"
"ALMACÉN GENERAL DE EPM","2025-03-01","","60.43478261"
"ALMACÉN GENERAL DE EPM","2025-02-28","","54.0"
"ALMACÉN GENERAL DE EPM","2025-02-27","","36.18181818"
"ALMACÉN GENERAL DE EPM","2025-02-26","","41.66666667"
"ALMACÉN GENERAL DE EPM","2025-02-25","","50.70833333"
"ALMACÉN GENERAL DE EPM","2025-02-24","","41.40909091"
"ALMACÉN GENERAL DE EPM","2025-02-23","","18.90909091"
"ALMACÉN GENERAL DE EPM","2025-02-22","","39.52173913"
"ALMACÉN GENERAL DE EPM","2025-02-21","","34.83333333"
"ALMACÉN GENERAL DE EPM","2025-02-20","","33.625"
"ALMACÉN GENERAL DE EPM","2025-02-19","","36.65217391"
"ALMACÉN GENERAL DE EPM","2025-02-18","","40.82608696"
"ALMACÉN GENERAL DE EPM","2025-02-17","","34.90909091"
"ALMACÉN GENERAL DE EPM","2025-02-16","","23.66666667"
"ALMACÉN GENERAL DE EPM","2025-02-15","","38.54166667"
"ALMACÉN GENERAL DE EPM","2025-02-14","","47.66666667"
"ALMACÉN GENERAL DE EPM","2025-02-13","","43.36363636"
"ALMACÉN GENERAL DE EPM","2025-02-12","","44.04166667"
