"Estacion","Fecha inicial","Fecha final","P"
"ALMACÉN GENERAL DE EPM","2025-04-10","","638.90179316"
"ALMACÉN GENERAL DE EPM","2025-04-09","","638.32024153"
"ALMACÉN GENERAL DE EPM","2025-04-08","","637.84205947"
"ALMACÉN GENERAL DE EPM","2025-04-07","","637.43621843"
"ALMACÉN GENERAL DE EPM","2025-04-06","","638.16958407"
"ALMACÉN GENERAL DE EPM","2025-04-05","","638.4569632"
"ALMACÉN GENERAL DE EPM","2025-04-04","","638.85105652"
"ALMACÉN GENERAL DE EPM","2025-04-03","","637.8458625"
"ALMACÉN GENERAL DE EPM","2025-04-02","","637.39821935"
"ALMACÉN GENERAL DE EPM","2025-04-01","","637.27656393"
"ALMACÉN GENERAL DE EPM","2025-03-31","","637.55519087"
"ALMACÉN GENERAL DE EPM","2025-03-30","","636.88823769"
"ALMACÉN GENERAL DE EPM","2025-03-29","","637.46778362"
"ALMACÉN GENERAL DE EPM","2025-03-28","","637.67361632"
"ALMACÉN GENERAL DE EPM","2025-03-27","","637.56189569"
"ALMACÉN GENERAL DE EPM","2025-03-26","","637.89131135"
"ALMACÉN GENERAL DE EPM","2025-03-25","","637.79680335"
"ALMACÉN GENERAL DE EPM","2025-03-24","","636.92960219"
"ALMACÉN GENERAL DE EPM","2025-03-23","","636.85281216"
"ALMACÉN GENERAL DE EPM","2025-03-22","","637.22815599"
"ALMACÉN GENERAL DE EPM","2025-03-21","","637.88686235"
"ALMACÉN GENERAL DE EPM","2025-03-20","","637.67039155"
"ALMACÉN GENERAL DE EPM","2025-03-19","","637.57410186"
"ALMACÉN GENERAL DE EPM","2025-03-18","","638.92315266"
"ALMACÉN GENERAL DE EPM","2025-03-17","","639.26347733"
"ALMACÉN GENERAL DE EPM","2025-03-16","","638.78419605"
"ALMACÉN GENERAL DE EPM","2025-03-15","","637.59444549"
"ALMACÉN GENERAL DE EPM","2025-03-14","","637.90460115"
"ALMACÉN GENERAL DE EPM","2025-03-13","","638.52327665"
"ALMACÉN GENERAL DE EPM","2025-03-12","","638.8694309"
"ALMACÉN GENERAL DE EPM","2025-03-11","","638.35311954"
"ALMACÉN GENERAL DE EPM","2025-03-10","","638.13410124"
"ALMACÉN GENERAL DE EPM","2025-03-09","","637.96724702"
"ALMACÉN GENERAL DE EPM","2025-03-08","","638.4373906"
"ALMACÉN GENERAL DE EPM","2025-03-07","","638.09060078"
"ALMACÉN GENERAL DE EPM","2025-03-06","","638.1875573"
"ALMACÉN GENERAL DE EPM","2025-03-05","","637.18488996"
"ALMACÉN GENERAL DE EPM","2025-03-04","","637.45448864"
"ALMACÉN GENERAL DE EPM","2025-03-03","","637.5466054"
"ALMACÉN GENERAL DE EPM","2025-03-02","","637.5809317"
"ALMACÉN GENERAL DE EPM","2025-03-01","","637.25219848"
"ALMACÉN GENERAL DE EPM","2025-02-28","","637.09251003"
"ALMACÉN GENERAL DE EPM","2025-02-27","","637.50433964"
"ALMACÉN GENERAL DE EPM","2025-02-26","","637.98912748"
"ALMACÉN GENERAL DE EPM","2025-02-25","","638.0522787"
"ALMACÉN GENERAL DE EPM","2025-02-24","","637.53837938"
"ALMACÉN GENERAL DE EPM","2025-02-23","","637.78928065"
"ALMACÉN GENERAL DE EPM","2025-02-22","","638.31037446"
"ALMACÉN GENERAL DE EPM","2025-02-21","","637.96720013"
"ALMACÉN GENERAL DE EPM","2025-02-20","","637.60152538"
"ALMACÉN GENERAL DE EPM","2025-02-19","","637.67671606"
"ALMACÉN GENERAL DE EPM","2025-02-18","","637.56404205"
"ALMACÉN GENERAL DE EPM","2025-02-17","","637.645974"
"ALMACÉN GENERAL DE EPM","2025-02-16","","637.7829301"
"ALMACÉN GENERAL DE EPM","2025-02-15","","637.25709554"
"ALMACÉN GENERAL DE EPM","2025-02-14","","638.93198822"
"ALMACÉN GENERAL DE EPM","2025-02-13","","638.415109"
"ALMACÉN GENERAL DE EPM","2025-02-12","","636.72500417"
"ALMACÉN GENERAL DE EPM","2025-02-11","","636.67986267"
"ALMACÉN GENERAL DE EPM","2025-02-10","","637.37274944"
"ALMACÉN GENERAL DE EPM","2025-02-09","","637.9943788"
"ALMACÉN GENERAL DE EPM","2025-02-08","","637.39881325"
"ALMACÉN GENERAL DE EPM","2025-02-07","","636.63850858"
"ALMACÉN GENERAL DE EPM","2025-02-06","","636.59681066"
"ALMACÉN GENERAL DE EPM","2025-02-05","","636.91492144"
"ALMACÉN GENERAL DE EPM","2025-02-04","","636.5180045"
"ALMACÉN GENERAL DE EPM","2025-02-03","","636.10109298"
"ALMACÉN GENERAL DE EPM","2025-02-02","","636.05477932"
"ALMACÉN GENERAL DE EPM","2025-02-01","","636.44284508"
"ALMACÉN GENERAL DE EPM","2025-01-31","","636.79679815"
"ALMACÉN GENERAL DE EPM","2025-01-30","","636.99408374"
"ALMACÉN GENERAL DE EPM","2025-01-29","","636.91132679"
"ALMACÉN GENERAL DE EPM","2025-01-28","","636.49969785"
"ALMACÉN GENERAL DE EPM","2025-01-27","","636.56056203"
"ALMACÉN GENERAL DE EPM","2025-01-26","","637.37222848"
"ALMACÉN GENERAL DE EPM","2025-01-25","","637.24631678"
"ALMACÉN GENERAL DE EPM","2025-01-24","","637.42849775"
"ALMACÉN GENERAL DE EPM","2025-01-23","","637.22228994"
"ALMACÉN GENERAL DE EPM","2025-01-22","","637.39880803"
"ALMACÉN GENERAL DE EPM","2025-01-21","","637.35901684"
"ALMACÉN GENERAL DE EPM","2025-01-20","","637.80368008"
"ALMACÉN GENERAL DE EPM","2025-01-19","","638.0008127"
"ALMACÉN GENERAL DE EPM","2025-01-18","","638.11017338"
"ALMACÉN GENERAL DE EPM","2025-01-17","","638.53153392"
"ALMACÉN GENERAL DE EPM","2025-01-16","","638.44670022"
"ALMACÉN GENERAL DE EPM","2025-01-15","","638.20784883"
"ALMACÉN GENERAL DE EPM","2025-01-14","","638.16807327"
"ALMACÉN GENERAL DE EPM","2025-01-13","","638.23678985"
"ALMACÉN GENERAL DE EPM","2025-01-12","","637.60748522"
"ALMACÉN GENERAL DE EPM","2025-01-11","","637.21598108"
"ALMACÉN GENERAL DE EPM","2025-01-10","","636.98008878"
"ALMACÉN GENERAL DE EPM","2025-01-09","","637.08656331"
"ALMACÉN GENERAL DE EPM","2025-01-08","","637.34859237"
"ALMACÉN GENERAL DE EPM","2025-01-07","","637.53389389"
"ALMACÉN GENERAL DE EPM","2025-01-06","","637.53156519"
"ALMACÉN GENERAL DE EPM","2025-01-05","","638.13849295"
"ALMACÉN GENERAL DE EPM","2025-01-04","","638.1076415"
"ALMACÉN GENERAL DE EPM","2025-01-03","","638.15073559"
"ALMACÉN GENERAL DE EPM","2025-01-02","","637.700149"
"ALMACÉN GENERAL DE EPM","2025-01-01","","637.55052825"
"ALMACÉN GENERAL DE EPM","2024-12-31","","637.08736559"
"ALMACÉN GENERAL DE EPM","2024-12-30","","637.72522298"
"ALMACÉN GENERAL DE EPM","2024-12-29","","638.02315682"
"ALMACÉN GENERAL DE EPM","2024-12-28","","638.03793658"
"ALMACÉN GENERAL DE EPM","2024-12-27","","637.94227795"
"ALMACÉN GENERAL DE EPM","2024-12-26","","637.3885138"
"ALMACÉN GENERAL DE EPM","2024-12-25","","637.08949113"
"ALMACÉN GENERAL DE EPM","2024-12-24","","638.04012427"
"ALMACÉN GENERAL DE EPM","2024-12-23","","638.39973015"
"ALMACÉN GENERAL DE EPM","2024-12-22","","638.25916896"
"ALMACÉN GENERAL DE EPM","2024-12-21","","637.83580791"
"ALMACÉN GENERAL DE EPM","2024-12-20","","637.55064807"
"ALMACÉN GENERAL DE EPM","2024-12-19","","637.82218471"
"ALMACÉN GENERAL DE EPM","2024-12-18","","637.52852275"
"ALMACÉN GENERAL DE EPM","2024-12-17","","637.56484954"
"ALMACÉN GENERAL DE EPM","2024-12-16","","637.21655415"
"ALMACÉN GENERAL DE EPM","2024-12-15","","637.00622551"
"ALMACÉN GENERAL DE EPM","2024-12-14","","636.62984496"
"ALMACÉN GENERAL DE EPM","2024-12-13","","636.5827759"
"ALMACÉN GENERAL DE EPM","2024-12-12","","636.58670398"
"ALMACÉN GENERAL DE EPM","2024-12-11","","636.6055941"
"ALMACÉN GENERAL DE EPM","2024-12-10","","636.56550076"
"ALMACÉN GENERAL DE EPM","2024-12-09","","636.41461928"
"ALMACÉN GENERAL DE EPM","2024-12-08","","636.81395349"
"ALMACÉN GENERAL DE EPM","2024-12-07","","637.00483454"
"ALMACÉN GENERAL DE EPM","2024-12-06","","636.95066474"
"ALMACÉN GENERAL DE EPM","2024-12-05","","636.8126094"
"ALMACÉN GENERAL DE EPM","2024-12-04","","635.91805243"
"ALMACÉN GENERAL DE EPM","2024-11-14","","637.44686172"
"ALMACÉN GENERAL DE EPM","2024-11-13","","637.51758773"
"ALMACÉN GENERAL DE EPM","2024-11-12","","637.81946007"
"ALMACÉN GENERAL DE EPM","2024-11-11","","638.1925273"
"ALMACÉN GENERAL DE EPM","2024-11-10","","638.06216137"
"ALMACÉN GENERAL DE EPM","2024-11-09","","637.76065892"
"ALMACÉN GENERAL DE EPM","2024-11-08","","637.56764713"
"ALMACÉN GENERAL DE EPM","2024-11-07","","637.06104652"
"ALMACÉN GENERAL DE EPM","2024-11-06","","637.26262294"
"ALMACÉN GENERAL DE EPM","2024-11-05","","637.74104464"
"ALMACÉN GENERAL DE EPM","2024-11-04","","637.92417375"
"ALMACÉN GENERAL DE EPM","2024-11-03","","636.92721838"
"ALMACÉN GENERAL DE EPM","2024-11-02","","637.13842001"
"ALMACÉN GENERAL DE EPM","2024-11-01","","637.28689465"
"ALMACÉN GENERAL DE EPM","2024-10-31","","636.96579355"
"ALMACÉN GENERAL DE EPM","2024-10-30","","637.43897954"
"ALMACÉN GENERAL DE EPM","2024-10-29","","636.9812401"
"ALMACÉN GENERAL DE EPM","2024-10-28","","636.96408998"
"ALMACÉN GENERAL DE EPM","2024-10-27","","636.53294053"
"ALMACÉN GENERAL DE EPM","2024-10-26","","636.97007585"
"ALMACÉN GENERAL DE EPM","2024-10-25","","636.89821414"
"ALMACÉN GENERAL DE EPM","2024-10-24","","636.98331353"
"ALMACÉN GENERAL DE EPM","2024-10-23","","637.69421522"
"ALMACÉN GENERAL DE EPM","2024-10-22","","638.10764671"
"ALMACÉN GENERAL DE EPM","2024-10-21","","637.47483223"
"ALMACÉN GENERAL DE EPM","2024-10-20","","637.30321643"
"ALMACÉN GENERAL DE EPM","2024-10-19","","637.21815871"
"ALMACÉN GENERAL DE EPM","2024-10-18","","636.9307431"
"ALMACÉN GENERAL DE EPM","2024-10-17","","637.17364758"
"ALMACÉN GENERAL DE EPM","2024-10-16","","638.08687589"
"ALMACÉN GENERAL DE EPM","2024-10-15","","638.51596233"
"ALMACÉN GENERAL DE EPM","2024-10-14","","638.85490643"
"ALMACÉN GENERAL DE EPM","2024-10-13","","638.4255543"
"ALMACÉN GENERAL DE EPM","2024-10-12","","637.81944965"
"ALMACÉN GENERAL DE EPM","2024-10-11","","638.09799325"
"ALMACÉN GENERAL DE EPM","2024-10-10","","638.95184735"
"ALMACÉN GENERAL DE EPM","2024-10-09","","638.47837482"
"ALMACÉN GENERAL DE EPM","2024-10-08","","638.26131532"
"ALMACÉN GENERAL DE EPM","2024-10-07","","637.67899787"
"ALMACÉN GENERAL DE EPM","2024-10-06","","638.39557805"
"ALMACÉN GENERAL DE EPM","2024-10-05","","638.44164165"
"ALMACÉN GENERAL DE EPM","2024-10-04","","638.17202217"
"ALMACÉN GENERAL DE EPM","2024-10-03","","637.86941966"
"ALMACÉN GENERAL DE EPM","2024-10-02","","638.06394307"
"ALMACÉN GENERAL DE EPM","2024-10-01","","638.11404413"
"ALMACÉN GENERAL DE EPM","2024-09-30","","638.35638472"
"ALMACÉN GENERAL DE EPM","2024-09-29","","638.69060494"
"ALMACÉN GENERAL DE EPM","2024-09-28","","638.31089543"
"ALMACÉN GENERAL DE EPM","2024-09-27","","638.04967058"
"ALMACÉN GENERAL DE EPM","2024-09-26","","638.45349879"
"ALMACÉN GENERAL DE EPM","2024-09-25","","637.78909833"
"ALMACÉN GENERAL DE EPM","2024-09-24","","637.35654226"
"ALMACÉN GENERAL DE EPM","2024-09-23","","637.79517275"
"ALMACÉN GENERAL DE EPM","2024-09-22","","637.43500459"
"ALMACÉN GENERAL DE EPM","2024-09-21","","636.55114299"
"ALMACÉN GENERAL DE EPM","2024-09-20","","636.06868384"
"ALMACÉN GENERAL DE EPM","2024-09-19","","635.99193028"
"ALMACÉN GENERAL DE EPM","2024-09-18","","636.26278965"
"ALMACÉN GENERAL DE EPM","2024-09-17","","637.33486498"
"ALMACÉN GENERAL DE EPM","2024-09-16","","636.53971304"
"ALMACÉN GENERAL DE EPM","2024-09-15","","636.70308722"
"ALMACÉN GENERAL DE EPM","2024-09-14","","637.22487393"
"ALMACÉN GENERAL DE EPM","2024-09-13","","637.8218707"
"ALMACÉN GENERAL DE EPM","2024-09-12","","636.85630261"
"ALMACÉN GENERAL DE EPM","2024-09-11","","636.50734037"
"ALMACÉN GENERAL DE EPM","2024-09-10","","637.13612258"
"ALMACÉN GENERAL DE EPM","2024-09-09","","637.52465722"
"ALMACÉN GENERAL DE EPM","2024-09-08","","636.65291844"
"ALMACÉN GENERAL DE EPM","2024-09-07","","636.31284905"
"ALMACÉN GENERAL DE EPM","2024-09-06","","636.38785739"
"ALMACÉN GENERAL DE EPM","2024-09-05","","637.25551178"
"ALMACÉN GENERAL DE EPM","2024-09-04","","636.82184609"
"ALMACÉN GENERAL DE EPM","2024-09-03","","637.35295283"
"ALMACÉN GENERAL DE EPM","2024-09-02","","637.72864049"
"ALMACÉN GENERAL DE EPM","2024-09-01","","638.6837699"
"ALMACÉN GENERAL DE EPM","2024-08-31","","638.18219384"
"ALMACÉN GENERAL DE EPM","2024-08-30","","637.93691131"
"ALMACÉN GENERAL DE EPM","2024-08-29","","638.20525019"
"ALMACÉN GENERAL DE EPM","2024-08-28","","638.0808275"
"ALMACÉN GENERAL DE EPM","2024-08-27","","638.88590377"
"ALMACÉN GENERAL DE EPM","2024-08-26","","639.17337147"
"ALMACÉN GENERAL DE EPM","2024-08-25","","639.01128407"
"ALMACÉN GENERAL DE EPM","2024-08-24","","638.22787467"
"ALMACÉN GENERAL DE EPM","2024-08-23","","637.83025965"
"ALMACÉN GENERAL DE EPM","2024-08-22","","637.19365259"
"ALMACÉN GENERAL DE EPM","2024-08-21","","637.45211305"
"ALMACÉN GENERAL DE EPM","2024-08-20","","637.96347004"
"ALMACÉN GENERAL DE EPM","2024-08-19","","637.89821414"
"ALMACÉN GENERAL DE EPM","2024-08-18","","637.88005855"
