"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"ALMACÉN GENERAL DE EPM","2025-04-10","","20.437125"
"ALMACÉN GENERAL DE EPM","2025-04-09","","22.32874306"
"ALMACÉN GENERAL DE EPM","2025-04-08","","22.25117361"
"ALMACÉN GENERAL DE EPM","2025-04-07","","22.07518055"
"ALMACÉN GENERAL DE EPM","2025-04-06","","21.07404167"
"ALMACÉN GENERAL DE EPM","2025-04-05","","22.04121528"
"ALMACÉN GENERAL DE EPM","2025-04-04","","20.90869444"
"ALMACÉN GENERAL DE EPM","2025-04-03","","21.27720833"
"ALMACÉN GENERAL DE EPM","2025-04-02","","21.85392361"
"ALMACÉN GENERAL DE EPM","2025-04-01","","22.14349306"
"ALMACÉN GENERAL DE EPM","2025-03-31","","21.52144444"
"ALMACÉN GENERAL DE EPM","2025-03-30","","21.71533333"
"ALMACÉN GENERAL DE EPM","2025-03-29","","21.3520625"
"ALMACÉN GENERAL DE EPM","2025-03-28","","20.86446528"
"ALMACÉN GENERAL DE EPM","2025-03-27","","22.096"
"ALMACÉN GENERAL DE EPM","2025-03-26","","23.02534722"
"ALMACÉN GENERAL DE EPM","2025-03-25","","22.67239583"
"ALMACÉN GENERAL DE EPM","2025-03-24","","24.78527083"
"ALMACÉN GENERAL DE EPM","2025-03-23","","24.7825"
"ALMACÉN GENERAL DE EPM","2025-03-22","","24.50879861"
"ALMACÉN GENERAL DE EPM","2025-03-21","","23.40625694"
"ALMACÉN GENERAL DE EPM","2025-03-20","","23.87241667"
"ALMACÉN GENERAL DE EPM","2025-03-19","","23.62490278"
"ALMACÉN GENERAL DE EPM","2025-03-18","","22.13631944"
"ALMACÉN GENERAL DE EPM","2025-03-17","","21.97867361"
"ALMACÉN GENERAL DE EPM","2025-03-16","","22.35905871"
"ALMACÉN GENERAL DE EPM","2025-03-15","","22.93215972"
"ALMACÉN GENERAL DE EPM","2025-03-14","","21.76129861"
"ALMACÉN GENERAL DE EPM","2025-03-13","","21.43499306"
"ALMACÉN GENERAL DE EPM","2025-03-12","","22.02072222"
"ALMACÉN GENERAL DE EPM","2025-03-11","","21.71985417"
"ALMACÉN GENERAL DE EPM","2025-03-10","","23.4811875"
"ALMACÉN GENERAL DE EPM","2025-03-09","","23.91459722"
"ALMACÉN GENERAL DE EPM","2025-03-08","","23.16128472"
"ALMACÉN GENERAL DE EPM","2025-03-07","","21.76121528"
"ALMACÉN GENERAL DE EPM","2025-03-06","","22.15947222"
"ALMACÉN GENERAL DE EPM","2025-03-05","","21.9145625"
"ALMACÉN GENERAL DE EPM","2025-03-04","","21.07878472"
"ALMACÉN GENERAL DE EPM","2025-03-03","","22.07077083"
"ALMACÉN GENERAL DE EPM","2025-03-02","","23.05049306"
"ALMACÉN GENERAL DE EPM","2025-03-01","","22.26239583"
"ALMACÉN GENERAL DE EPM","2025-02-28","","21.34830867"
"ALMACÉN GENERAL DE EPM","2025-02-27","","23.44175"
"ALMACÉN GENERAL DE EPM","2025-02-26","","23.13225694"
"ALMACÉN GENERAL DE EPM","2025-02-25","","21.32034028"
"ALMACÉN GENERAL DE EPM","2025-02-24","","21.65132639"
"ALMACÉN GENERAL DE EPM","2025-02-23","","22.92057639"
"ALMACÉN GENERAL DE EPM","2025-02-22","","21.91949306"
"ALMACÉN GENERAL DE EPM","2025-02-21","","22.71475"
"ALMACÉN GENERAL DE EPM","2025-02-20","","23.66211805"
"ALMACÉN GENERAL DE EPM","2025-02-19","","22.43339583"
"ALMACÉN GENERAL DE EPM","2025-02-18","","21.74575"
"ALMACÉN GENERAL DE EPM","2025-02-17","","20.66140972"
"ALMACÉN GENERAL DE EPM","2025-02-16","","20.75861806"
"ALMACÉN GENERAL DE EPM","2025-02-15","","21.37994444"
"ALMACÉN GENERAL DE EPM","2025-02-14","","21.69746528"
"ALMACÉN GENERAL DE EPM","2025-02-13","","21.40111806"
"ALMACÉN GENERAL DE EPM","2025-02-12","","21.46284722"
"ALMACÉN GENERAL DE EPM","2025-02-11","","20.87170139"
