"Estacion","Fecha inicial","Fecha final","VViento"
"ALMACÉN GENERAL DE EPM","2025-04-10","","0.75763114"
"ALMACÉN GENERAL DE EPM","2025-04-09","","1.22172724"
"ALMACÉN GENERAL DE EPM","2025-04-08","","1.29980921"
"ALMACÉN GENERAL DE EPM","2025-04-07","","1.08268113"
"ALMACÉN GENERAL DE EPM","2025-04-06","","0.8559242"
"ALMACÉN GENERAL DE EPM","2025-04-05","","1.19000299"
"ALMACÉN GENERAL DE EPM","2025-04-04","","0.86153727"
"ALMACÉN GENERAL DE EPM","2025-04-03","","1.00943965"
"ALMACÉN GENERAL DE EPM","2025-04-02","","0.99682842"
"ALMACÉN GENERAL DE EPM","2025-04-01","","1.13060157"
"ALMACÉN GENERAL DE EPM","2025-03-31","","0.75959256"
"ALMACÉN GENERAL DE EPM","2025-03-30","","0.98586683"
"ALMACÉN GENERAL DE EPM","2025-03-29","","0.80124674"
"ALMACÉN GENERAL DE EPM","2025-03-28","","0.79668857"
"ALMACÉN GENERAL DE EPM","2025-03-27","","0.91447623"
"ALMACÉN GENERAL DE EPM","2025-03-26","","0.99228496"
"ALMACÉN GENERAL DE EPM","2025-03-25","","1.35858269"
"ALMACÉN GENERAL DE EPM","2025-03-24","","1.60263469"
"ALMACÉN GENERAL DE EPM","2025-03-23","","1.68911983"
"ALMACÉN GENERAL DE EPM","2025-03-22","","1.7960168"
"ALMACÉN GENERAL DE EPM","2025-03-21","","1.86010731"
"ALMACÉN GENERAL DE EPM","2025-03-20","","2.25244102"
"ALMACÉN GENERAL DE EPM","2025-03-19","","2.39600722"
"ALMACÉN GENERAL DE EPM","2025-03-18","","1.52137699"
"ALMACÉN GENERAL DE EPM","2025-03-17","","1.35832317"
"ALMACÉN GENERAL DE EPM","2025-03-16","","1.36555539"
"ALMACÉN GENERAL DE EPM","2025-03-15","","1.69267938"
"ALMACÉN GENERAL DE EPM","2025-03-14","","0.97368259"
"ALMACÉN GENERAL DE EPM","2025-03-13","","0.79979136"
"ALMACÉN GENERAL DE EPM","2025-03-12","","1.53649897"
"ALMACÉN GENERAL DE EPM","2025-03-11","","0.99691026"
"ALMACÉN GENERAL DE EPM","2025-03-10","","1.52200876"
"ALMACÉN GENERAL DE EPM","2025-03-09","","1.47764821"
"ALMACÉN GENERAL DE EPM","2025-03-08","","1.13339357"
"ALMACÉN GENERAL DE EPM","2025-03-07","","1.6356805"
"ALMACÉN GENERAL DE EPM","2025-03-06","","1.14283609"
"ALMACÉN GENERAL DE EPM","2025-03-05","","1.08256593"
"ALMACÉN GENERAL DE EPM","2025-03-04","","0.72490931"
"ALMACÉN GENERAL DE EPM","2025-03-03","","1.22813443"
"ALMACÉN GENERAL DE EPM","2025-03-02","","1.39346265"
"ALMACÉN GENERAL DE EPM","2025-03-01","","0.7254793"
"ALMACÉN GENERAL DE EPM","2025-02-28","","0.75481304"
"ALMACÉN GENERAL DE EPM","2025-02-27","","1.42301936"
"ALMACÉN GENERAL DE EPM","2025-02-26","","1.58052137"
"ALMACÉN GENERAL DE EPM","2025-02-25","","1.23199661"
"ALMACÉN GENERAL DE EPM","2025-02-24","","1.06951925"
"ALMACÉN GENERAL DE EPM","2025-02-23","","2.17748961"
"ALMACÉN GENERAL DE EPM","2025-02-22","","1.45816452"
"ALMACÉN GENERAL DE EPM","2025-02-21","","1.63298746"
"ALMACÉN GENERAL DE EPM","2025-02-20","","2.19362549"
"ALMACÉN GENERAL DE EPM","2025-02-19","","1.5385196"
"ALMACÉN GENERAL DE EPM","2025-02-18","","1.02129072"
"ALMACÉN GENERAL DE EPM","2025-02-17","","1.12612198"
"ALMACÉN GENERAL DE EPM","2025-02-16","","1.08201976"
"ALMACÉN GENERAL DE EPM","2025-02-15","","1.13368591"
"ALMACÉN GENERAL DE EPM","2025-02-14","","1.03772884"
"ALMACÉN GENERAL DE EPM","2025-02-13","","0.7429916"
"ALMACÉN GENERAL DE EPM","2025-02-12","","1.01222413"
"ALMACÉN GENERAL DE EPM","2025-02-11","","0.83218799"
"ALMACÉN GENERAL DE EPM","2025-02-10","","0.9118082"
"ALMACÉN GENERAL DE EPM","2025-02-09","","0.84075053"
"ALMACÉN GENERAL DE EPM","2025-02-08","","0.8573694"
"ALMACÉN GENERAL DE EPM","2025-02-07","","1.17442013"
"ALMACÉN GENERAL DE EPM","2025-02-06","","1.83420953"
"ALMACÉN GENERAL DE EPM","2025-02-05","","1.00361933"
"ALMACÉN GENERAL DE EPM","2025-02-04","","0.95193304"
"ALMACÉN GENERAL DE EPM","2025-02-03","","2.00730082"
"ALMACÉN GENERAL DE EPM","2025-02-02","","1.94887779"
"ALMACÉN GENERAL DE EPM","2025-02-01","","2.06122359"
"ALMACÉN GENERAL DE EPM","2025-01-31","","2.14590683"
"ALMACÉN GENERAL DE EPM","2025-01-30","","1.66926648"
"ALMACÉN GENERAL DE EPM","2025-01-29","","2.22839907"
"ALMACÉN GENERAL DE EPM","2025-01-28","","2.06542368"
"ALMACÉN GENERAL DE EPM","2025-01-27","","1.90539993"
"ALMACÉN GENERAL DE EPM","2025-01-26","","2.00918384"
"ALMACÉN GENERAL DE EPM","2025-01-25","","2.08788264"
"ALMACÉN GENERAL DE EPM","2025-01-24","","1.75861368"
"ALMACÉN GENERAL DE EPM","2025-01-23","","1.76486195"
"ALMACÉN GENERAL DE EPM","2025-01-22","","1.76582773"
