"Estacion","Fecha inicial","Fecha final","HAire10"
"ALMACÉN GENERAL DE EPM","2025-04-10","","85.54963194"
"ALMACÉN GENERAL DE EPM","2025-04-09","","76.74306944"
"ALMACÉN GENERAL DE EPM","2025-04-08","","76.47336806"
"ALMACÉN GENERAL DE EPM","2025-04-07","","76.51602083"
"ALMACÉN GENERAL DE EPM","2025-04-06","","80.40379861"
"ALMACÉN GENERAL DE EPM","2025-04-05","","76.42364583"
"ALMACÉN GENERAL DE EPM","2025-04-04","","81.86720833"
"ALMACÉN GENERAL DE EPM","2025-04-03","","83.50925"
"ALMACÉN GENERAL DE EPM","2025-04-02","","78.26132639"
"ALMACÉN GENERAL DE EPM","2025-04-01","","75.90494444"
"ALMACÉN GENERAL DE EPM","2025-03-31","","79.15628472"
"ALMACÉN GENERAL DE EPM","2025-03-30","","76.98980556"
"ALMACÉN GENERAL DE EPM","2025-03-29","","79.47828472"
"ALMACÉN GENERAL DE EPM","2025-03-28","","82.64029167"
"ALMACÉN GENERAL DE EPM","2025-03-27","","76.52832639"
"ALMACÉN GENERAL DE EPM","2025-03-26","","70.42615278"
"ALMACÉN GENERAL DE EPM","2025-03-25","","73.48516667"
"ALMACÉN GENERAL DE EPM","2025-03-24","","62.10504167"
"ALMACÉN GENERAL DE EPM","2025-03-23","","64.64544444"
"ALMACÉN GENERAL DE EPM","2025-03-22","","66.00497917"
"ALMACÉN GENERAL DE EPM","2025-03-21","","69.94141667"
"ALMACÉN GENERAL DE EPM","2025-03-20","","70.41360417"
"ALMACÉN GENERAL DE EPM","2025-03-19","","68.42188195"
"ALMACÉN GENERAL DE EPM","2025-03-18","","75.21027083"
"ALMACÉN GENERAL DE EPM","2025-03-17","","78.48147917"
"ALMACÉN GENERAL DE EPM","2025-03-16","","75.30149558"
"ALMACÉN GENERAL DE EPM","2025-03-15","","72.06082639"
"ALMACÉN GENERAL DE EPM","2025-03-14","","77.89303472"
"ALMACÉN GENERAL DE EPM","2025-03-13","","77.20630556"
"ALMACÉN GENERAL DE EPM","2025-03-12","","74.88258333"
"ALMACÉN GENERAL DE EPM","2025-03-11","","75.86454861"
"ALMACÉN GENERAL DE EPM","2025-03-10","","67.25743056"
"ALMACÉN GENERAL DE EPM","2025-03-09","","69.25323611"
"ALMACÉN GENERAL DE EPM","2025-03-08","","69.07295833"
"ALMACÉN GENERAL DE EPM","2025-03-07","","73.13042361"
"ALMACÉN GENERAL DE EPM","2025-03-06","","73.41945139"
"ALMACÉN GENERAL DE EPM","2025-03-05","","78.58231944"
"ALMACÉN GENERAL DE EPM","2025-03-04","","79.98175695"
"ALMACÉN GENERAL DE EPM","2025-03-03","","76.14470833"
"ALMACÉN GENERAL DE EPM","2025-03-02","","68.55442361"
"ALMACÉN GENERAL DE EPM","2025-03-01","","75.26507639"
"ALMACÉN GENERAL DE EPM","2025-02-28","","79.51462835"
"ALMACÉN GENERAL DE EPM","2025-02-27","","72.47979861"
"ALMACÉN GENERAL DE EPM","2025-02-26","","74.83620139"
"ALMACÉN GENERAL DE EPM","2025-02-25","","81.5176875"
"ALMACÉN GENERAL DE EPM","2025-02-24","","80.80075695"
"ALMACÉN GENERAL DE EPM","2025-02-23","","75.8346875"
"ALMACÉN GENERAL DE EPM","2025-02-22","","79.54451389"
"ALMACÉN GENERAL DE EPM","2025-02-21","","73.94839583"
"ALMACÉN GENERAL DE EPM","2025-02-20","","71.54921528"
"ALMACÉN GENERAL DE EPM","2025-02-19","","76.50608333"
"ALMACÉN GENERAL DE EPM","2025-02-18","","76.7266875"
"ALMACÉN GENERAL DE EPM","2025-02-17","","78.53970833"
"ALMACÉN GENERAL DE EPM","2025-02-16","","79.4015"
"ALMACÉN GENERAL DE EPM","2025-02-15","","76.77659722"
"ALMACÉN GENERAL DE EPM","2025-02-14","","75.73788194"
"ALMACÉN GENERAL DE EPM","2025-02-13","","78.88002083"
"ALMACÉN GENERAL DE EPM","2025-02-12","","77.17634028"
"ALMACÉN GENERAL DE EPM","2025-02-11","","79.44535417"
"ALMACÉN GENERAL DE EPM","2025-02-10","","78.86920833"
"ALMACÉN GENERAL DE EPM","2025-02-09","","83.37374306"
"ALMACÉN GENERAL DE EPM","2025-02-08","","78.36713194"
"ALMACÉN GENERAL DE EPM","2025-02-07","","76.18804167"
"ALMACÉN GENERAL DE EPM","2025-02-06","","72.991"
"ALMACÉN GENERAL DE EPM","2025-02-05","","81.62586806"
"ALMACÉN GENERAL DE EPM","2025-02-04","","77.86763889"
"ALMACÉN GENERAL DE EPM","2025-02-03","","70.96321528"
"ALMACÉN GENERAL DE EPM","2025-02-02","","68.66520139"
"ALMACÉN GENERAL DE EPM","2025-02-01","","68.00288406"
"ALMACÉN GENERAL DE EPM","2025-01-31","","66.89278472"
"ALMACÉN GENERAL DE EPM","2025-01-30","","63.1832197"
"ALMACÉN GENERAL DE EPM","2025-01-29","","63.29529861"
"ALMACÉN GENERAL DE EPM","2025-01-28","","68.751375"
"ALMACÉN GENERAL DE EPM","2025-01-27","","67.89178472"
"ALMACÉN GENERAL DE EPM","2025-01-26","","70.84645833"
"ALMACÉN GENERAL DE EPM","2025-01-25","","70.87140278"
"ALMACÉN GENERAL DE EPM","2025-01-24","","71.54443056"
"ALMACÉN GENERAL DE EPM","2025-01-23","","61.596125"
"ALMACÉN GENERAL DE EPM","2025-01-22","","63.61255556"
"ALMACÉN GENERAL DE EPM","2025-01-21","","63.30459722"
"ALMACÉN GENERAL DE EPM","2025-01-20","","65.24089583"
"ALMACÉN GENERAL DE EPM","2025-01-19","","67.83306945"
"ALMACÉN GENERAL DE EPM","2025-01-18","","65.11888195"
"ALMACÉN GENERAL DE EPM","2025-01-17","","65.76818056"
"ALMACÉN GENERAL DE EPM","2025-01-16","","64.93672917"
"ALMACÉN GENERAL DE EPM","2025-01-15","","63.19066667"
"ALMACÉN GENERAL DE EPM","2025-01-14","","62.45934722"
"ALMACÉN GENERAL DE EPM","2025-01-13","","63.94565575"
"ALMACÉN GENERAL DE EPM","2025-01-12","","67.3643125"
"ALMACÉN GENERAL DE EPM","2025-01-11","","70.30727083"
"ALMACÉN GENERAL DE EPM","2025-01-10","","70.347"
"ALMACÉN GENERAL DE EPM","2025-01-09","","74.48579861"
"ALMACÉN GENERAL DE EPM","2025-01-08","","71.071875"
"ALMACÉN GENERAL DE EPM","2025-01-07","","75.64327778"
"ALMACÉN GENERAL DE EPM","2025-01-06","","75.40730556"
"ALMACÉN GENERAL DE EPM","2025-01-05","","82.1965625"
"ALMACÉN GENERAL DE EPM","2025-01-04","","83.22336806"
"ALMACÉN GENERAL DE EPM","2025-01-03","","82.13427778"
"ALMACÉN GENERAL DE EPM","2025-01-02","","77.16576389"
"ALMACÉN GENERAL DE EPM","2025-01-01","","75.89236111"
"ALMACÉN GENERAL DE EPM","2024-12-31","","76.33300694"
"ALMACÉN GENERAL DE EPM","2024-12-30","","82.85461111"
"ALMACÉN GENERAL DE EPM","2024-12-29","","74.97670139"
"ALMACÉN GENERAL DE EPM","2024-12-28","","76.71800694"
"ALMACÉN GENERAL DE EPM","2024-12-27","","83.82343188"
"ALMACÉN GENERAL DE EPM","2024-12-26","","84.05447917"
"ALMACÉN GENERAL DE EPM","2024-12-25","","75.21452778"
"ALMACÉN GENERAL DE EPM","2024-12-24","","79.08001059"
"ALMACÉN GENERAL DE EPM","2024-12-23","","76.04214583"
"ALMACÉN GENERAL DE EPM","2024-12-22","","73.49377083"
"ALMACÉN GENERAL DE EPM","2024-12-21","","80.26366667"
"ALMACÉN GENERAL DE EPM","2024-12-20","","75.97803472"
"ALMACÉN GENERAL DE EPM","2024-12-19","","76.42289583"
"ALMACÉN GENERAL DE EPM","2024-12-18","","67.55125694"
"ALMACÉN GENERAL DE EPM","2024-12-17","","70.66972917"
"ALMACÉN GENERAL DE EPM","2024-12-16","","78.58197917"
"ALMACÉN GENERAL DE EPM","2024-12-15","","81.84695139"
"ALMACÉN GENERAL DE EPM","2024-12-14","","70.92735417"
"ALMACÉN GENERAL DE EPM","2024-12-13","","67.80875694"
"ALMACÉN GENERAL DE EPM","2024-12-12","","67.22870139"
"ALMACÉN GENERAL DE EPM","2024-12-11","","70.08225"
"ALMACÉN GENERAL DE EPM","2024-12-10","","69.87197222"
"ALMACÉN GENERAL DE EPM","2024-12-09","","67.75864583"
"ALMACÉN GENERAL DE EPM","2024-12-08","","61.56015972"
"ALMACÉN GENERAL DE EPM","2024-12-07","","63.10090278"
"ALMACÉN GENERAL DE EPM","2024-12-06","","66.54170139"
"ALMACÉN GENERAL DE EPM","2024-12-05","","70.0293125"
"ALMACÉN GENERAL DE EPM","2024-12-04","","64.09881482"
"ALMACÉN GENERAL DE EPM","2024-11-14","","78.60314444"
"ALMACÉN GENERAL DE EPM","2024-11-13","","74.00547917"
"ALMACÉN GENERAL DE EPM","2024-11-12","","72.45575"
"ALMACÉN GENERAL DE EPM","2024-11-11","","79.76636806"
"ALMACÉN GENERAL DE EPM","2024-11-10","","83.44384028"
"ALMACÉN GENERAL DE EPM","2024-11-09","","78.16569445"
"ALMACÉN GENERAL DE EPM","2024-11-08","","85.03790972"
"ALMACÉN GENERAL DE EPM","2024-11-07","","78.00236111"
"ALMACÉN GENERAL DE EPM","2024-11-06","","70.11021528"
"ALMACÉN GENERAL DE EPM","2024-11-05","","73.67779167"
"ALMACÉN GENERAL DE EPM","2024-11-04","","82.04538889"
"ALMACÉN GENERAL DE EPM","2024-11-03","","69.83194773"
"ALMACÉN GENERAL DE EPM","2024-11-02","","67.05334722"
"ALMACÉN GENERAL DE EPM","2024-11-01","","79.72191667"
"ALMACÉN GENERAL DE EPM","2024-10-31","","73.39436806"
"ALMACÉN GENERAL DE EPM","2024-10-30","","76.29091667"
"ALMACÉN GENERAL DE EPM","2024-10-29","","66.83855555"
"ALMACÉN GENERAL DE EPM","2024-10-28","","66.82372222"
"ALMACÉN GENERAL DE EPM","2024-10-27","","74.71499306"
"ALMACÉN GENERAL DE EPM","2024-10-26","","69.83526389"
"ALMACÉN GENERAL DE EPM","2024-10-25","","64.4550625"
"ALMACÉN GENERAL DE EPM","2024-10-24","","74.29357639"
"ALMACÉN GENERAL DE EPM","2024-10-23","","73.23247917"
"ALMACÉN GENERAL DE EPM","2024-10-22","","83.53324306"
"ALMACÉN GENERAL DE EPM","2024-10-21","","80.55974305"
"ALMACÉN GENERAL DE EPM","2024-10-20","","79.22535417"
"ALMACÉN GENERAL DE EPM","2024-10-19","","68.44992361"
"ALMACÉN GENERAL DE EPM","2024-10-18","","70.07314583"
"ALMACÉN GENERAL DE EPM","2024-10-17","","73.53072222"
"ALMACÉN GENERAL DE EPM","2024-10-16","","75.69379167"
"ALMACÉN GENERAL DE EPM","2024-10-15","","71.183375"
"ALMACÉN GENERAL DE EPM","2024-10-14","","64.90624305"
"ALMACÉN GENERAL DE EPM","2024-10-13","","65.39613194"
"ALMACÉN GENERAL DE EPM","2024-10-12","","63.50327083"
"ALMACÉN GENERAL DE EPM","2024-10-11","","66.94651389"
"ALMACÉN GENERAL DE EPM","2024-10-10","","83.11340972"
"ALMACÉN GENERAL DE EPM","2024-10-09","","73.15111111"
"ALMACÉN GENERAL DE EPM","2024-10-08","","83.4615"
"ALMACÉN GENERAL DE EPM","2024-10-07","","76.85836806"
"ALMACÉN GENERAL DE EPM","2024-10-06","","71.45779167"
"ALMACÉN GENERAL DE EPM","2024-10-05","","75.5051875"
"ALMACÉN GENERAL DE EPM","2024-10-04","","71.08551389"
"ALMACÉN GENERAL DE EPM","2024-10-03","","65.51435234"
"ALMACÉN GENERAL DE EPM","2024-10-02","","74.97858333"
"ALMACÉN GENERAL DE EPM","2024-10-01","","73.20279861"
"ALMACÉN GENERAL DE EPM","2024-09-30","","77.51785494"
"ALMACÉN GENERAL DE EPM","2024-09-29","","79.80078472"
"ALMACÉN GENERAL DE EPM","2024-09-28","","74.30895139"
"ALMACÉN GENERAL DE EPM","2024-09-27","","75.83819774"
"ALMACÉN GENERAL DE EPM","2024-09-26","","74.62279167"
"ALMACÉN GENERAL DE EPM","2024-09-25","","72.68167361"
"ALMACÉN GENERAL DE EPM","2024-09-24","","66.55967361"
"ALMACÉN GENERAL DE EPM","2024-09-23","","71.27540972"
"ALMACÉN GENERAL DE EPM","2024-09-22","","76.38349846"
"ALMACÉN GENERAL DE EPM","2024-09-21","","68.70718056"
"ALMACÉN GENERAL DE EPM","2024-09-20","","66.87214583"
"ALMACÉN GENERAL DE EPM","2024-09-19","","62.15428472"
"ALMACÉN GENERAL DE EPM","2024-09-18","","57.50305556"
"ALMACÉN GENERAL DE EPM","2024-09-17","","62.87918056"
"ALMACÉN GENERAL DE EPM","2024-09-16","","61.42043056"
"ALMACÉN GENERAL DE EPM","2024-09-15","","59.41854861"
"ALMACÉN GENERAL DE EPM","2024-09-14","","67.80611111"
"ALMACÉN GENERAL DE EPM","2024-09-13","","66.48315404"
"ALMACÉN GENERAL DE EPM","2024-09-12","","64.83067361"
"ALMACÉN GENERAL DE EPM","2024-09-11","","60.23519444"
"ALMACÉN GENERAL DE EPM","2024-09-10","","60.29909028"
"ALMACÉN GENERAL DE EPM","2024-09-09","","52.00682093"
"ALMACÉN GENERAL DE EPM","2024-09-08","","59.12021528"
"ALMACÉN GENERAL DE EPM","2024-09-07","","64.48335417"
"ALMACÉN GENERAL DE EPM","2024-09-06","","61.16875694"
"ALMACÉN GENERAL DE EPM","2024-09-05","","67.30477083"
"ALMACÉN GENERAL DE EPM","2024-09-04","","65.24388194"
"ALMACÉN GENERAL DE EPM","2024-09-03","","71.19459722"
"ALMACÉN GENERAL DE EPM","2024-09-02","","71.20097917"
"ALMACÉN GENERAL DE EPM","2024-09-01","","76.88492361"
"ALMACÉN GENERAL DE EPM","2024-08-31","","62.88243582"
"ALMACÉN GENERAL DE EPM","2024-08-30","","56.917375"
"ALMACÉN GENERAL DE EPM","2024-08-29","","72.7635827"
