"Estacion","Fecha inicial","Fecha final","PM10"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-10","","29.54166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-09","","34.125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-08","","31.125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-07","","23.04166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-06","","25.34782609"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-05","","30.45833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-04","","30.54166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-03","","36.79166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-02","","30.2173913"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-01","","30.375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-31","","31.7826087"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-30","","31.90909091"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-29","","39.875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-28","","47.08695652"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-27","","45.69565217"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-26","","45.16666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-25","","46.20833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-24","","22.625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-23","","21.58333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-22","","22.29166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-21","","23.25"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-20","","20.52173913"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-19","","27.3"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-18","","32.75"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-17","","37.875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-16","","23.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-15","","41.875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-14","","36.65217391"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-13","","38.20833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-12","","46.08333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-11","","43.91666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-10","","40.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-09","","32.33333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-08","","29.125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-07","","35.91666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-06","","32.70833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-05","","39.375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-04","","43.75"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-03","","36.04166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-02","","24.54166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-01","","39.20833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-28","","39.54545455"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-27","","33.25"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-26","","35.04166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-25","","35.625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-24","","29.45833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-23","","17.33333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-22","","29.75"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-21","","34.625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-20","","31.33333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-19","","39.83333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-18","","31.625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-17","","23.58333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-16","","16.54166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-15","","27.04166667"
