"Estacion","Fecha inicial","Fecha final","VViento"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-10","","0.34185469"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-09","","0.5171428"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-08","","0.44914267"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-07","","0.40759402"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-06","","0.31286839"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-05","","0.32371089"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-04","","0.42433893"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-03","","0.26618999"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-02","","0.38930464"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-01","","0.3643125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-31","","0.39941202"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-30","","0.42736815"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-29","","0.27014724"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-28","","0.328375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-27","","0.36285881"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-26","","0.53876826"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-25","","0.45094383"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-24","","0.39739168"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-23","","0.4568593"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-22","","0.49183879"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-21","","0.5827678"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-20","","0.81347315"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-19","","0.67624995"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-18","","0.58117274"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-17","","0.68643169"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-16","","0.63527194"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-15","","0.61405741"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-14","","0.44688433"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-13","","0.51566739"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-12","","0.57196412"
