"Estacion","Fecha inicial","Fecha final","VViento"
"UNIVERSIDAD CES","2025-05-01","","0.68996708"
"UNIVERSIDAD CES","2025-04-30","","0.55493663"
"UNIVERSIDAD CES","2025-04-29","","0.5108049"
"UNIVERSIDAD CES","2025-04-28","","0.77374792"
"UNIVERSIDAD CES","2025-04-27","","0.68720095"
"UNIVERSIDAD CES","2025-04-26","","0.79301151"
"UNIVERSIDAD CES","2025-04-25","","0.81251608"
"UNIVERSIDAD CES","2025-04-24","","0.53576444"
"UNIVERSIDAD CES","2025-04-23","","0.86089835"
"UNIVERSIDAD CES","2025-04-22","","0.81797808"
"UNIVERSIDAD CES","2025-04-21","","0.7101619"
"UNIVERSIDAD CES","2025-04-20","","0.71934115"
"UNIVERSIDAD CES","2025-04-19","","0.81298802"
"UNIVERSIDAD CES","2025-04-18","","0.88214428"
"UNIVERSIDAD CES","2025-04-17","","0.6914449"
"UNIVERSIDAD CES","2025-04-16","","0.93681424"
"UNIVERSIDAD CES","2025-04-15","","1.23862159"
"UNIVERSIDAD CES","2025-04-14","","1.15237328"
"UNIVERSIDAD CES","2025-04-13","","1.11787751"
"UNIVERSIDAD CES","2025-04-12","","0.7706921"
"UNIVERSIDAD CES","2025-04-11","","0.68400649"
"UNIVERSIDAD CES","2025-04-10","","0.42669995"
"UNIVERSIDAD CES","2025-04-09","","0.83984203"
"UNIVERSIDAD CES","2025-04-08","","0.5794007"
"UNIVERSIDAD CES","2025-04-07","","0.77217611"
"UNIVERSIDAD CES","2025-04-06","","0.61987461"
"UNIVERSIDAD CES","2025-04-05","","0.91520944"
"UNIVERSIDAD CES","2025-04-04","","0.64144406"
"UNIVERSIDAD CES","2025-04-03","","0.72564576"
"UNIVERSIDAD CES","2025-04-02","","0.61954417"
"UNIVERSIDAD CES","2025-04-01","","0.55175045"
"UNIVERSIDAD CES","2025-03-31","","0.85413722"
"UNIVERSIDAD CES","2025-03-30","","0.9074148"
"UNIVERSIDAD CES","2025-03-29","","0.8916684"
"UNIVERSIDAD CES","2025-03-28","","0.6734264"
"UNIVERSIDAD CES","2025-03-27","","0.78611163"
"UNIVERSIDAD CES","2025-03-26","","0.83859648"
"UNIVERSIDAD CES","2025-03-25","","0.96080911"
"UNIVERSIDAD CES","2025-03-24","","1.26049516"
"UNIVERSIDAD CES","2025-03-23","","1.23493792"
"UNIVERSIDAD CES","2025-03-22","","1.10292722"
"UNIVERSIDAD CES","2025-03-21","","0.84610654"
"UNIVERSIDAD CES","2025-03-20","","0.71093974"
"UNIVERSIDAD CES","2025-03-19","","1.02706538"
"UNIVERSIDAD CES","2025-03-18","","0.78897231"
"UNIVERSIDAD CES","2025-03-17","","0.90480524"
"UNIVERSIDAD CES","2025-03-16","","0.61443352"
"UNIVERSIDAD CES","2025-03-15","","0.71703485"
"UNIVERSIDAD CES","2025-03-14","","0.86844748"
"UNIVERSIDAD CES","2025-03-13","","0.93476673"
"UNIVERSIDAD CES","2025-03-12","","0.90692632"
"UNIVERSIDAD CES","2025-03-11","","0.87482493"
"UNIVERSIDAD CES","2025-03-10","","0.81695587"
"UNIVERSIDAD CES","2025-03-09","","0.94651267"
"UNIVERSIDAD CES","2025-03-08","","0.7205576"
"UNIVERSIDAD CES","2025-03-07","","0.70495882"
"UNIVERSIDAD CES","2025-03-06","","0.96748033"
"UNIVERSIDAD CES","2025-03-05","","0.73970509"
"UNIVERSIDAD CES","2025-03-04","","0.66713086"
"UNIVERSIDAD CES","2025-03-03","","0.81814207"
"UNIVERSIDAD CES","2025-03-02","","1.12275304"
"UNIVERSIDAD CES","2025-03-01","","1.09327581"
"UNIVERSIDAD CES","2025-02-28","","0.82800448"
"UNIVERSIDAD CES","2025-02-27","","0.65480289"
"UNIVERSIDAD CES","2025-02-26","","0.71202093"
"UNIVERSIDAD CES","2025-02-25","","0.60129211"
"UNIVERSIDAD CES","2025-02-24","","0.80590979"
"UNIVERSIDAD CES","2025-02-23","","0.60408878"
"UNIVERSIDAD CES","2025-02-22","","0.8883801"
