"Estacion","Fecha inicial","Fecha final","P"
"UNIVERSIDAD DE MEDELLÍN","2025-12-31","","633.4943913"
"UNIVERSIDAD DE MEDELLÍN","2025-12-30","","632.58352632"
"UNIVERSIDAD DE MEDELLÍN","2025-12-29","","633.6425"
"UNIVERSIDAD DE MEDELLÍN","2025-12-28","","632.98370833"
"UNIVERSIDAD DE MEDELLÍN","2025-12-27","","632.61408333"
"UNIVERSIDAD DE MEDELLÍN","2025-12-26","","633.17575"
"UNIVERSIDAD DE MEDELLÍN","2025-12-25","","633.205625"
"UNIVERSIDAD DE MEDELLÍN","2025-12-24","","633.08105"
"UNIVERSIDAD DE MEDELLÍN","2025-12-23","","633.730125"
"UNIVERSIDAD DE MEDELLÍN","2025-12-22","","634.3725"
"UNIVERSIDAD DE MEDELLÍN","2025-12-19","","633.939"
"UNIVERSIDAD DE MEDELLÍN","2025-12-12","","633.2132381"
"UNIVERSIDAD DE MEDELLÍN","2025-12-11","","632.43241667"
"UNIVERSIDAD DE MEDELLÍN","2025-12-10","","632.23375"
"UNIVERSIDAD DE MEDELLÍN","2025-12-09","","632.10125"
"UNIVERSIDAD DE MEDELLÍN","2025-12-05","","635.5376"
"UNIVERSIDAD DE MEDELLÍN","2025-12-04","","634.34133333"
"UNIVERSIDAD DE MEDELLÍN","2025-12-03","","634.624"
"UNIVERSIDAD DE MEDELLÍN","2025-12-02","","634.4765"
"UNIVERSIDAD DE MEDELLÍN","2025-12-01","","634.31216667"
"UNIVERSIDAD DE MEDELLÍN","2025-11-30","","633.27347826"
"UNIVERSIDAD DE MEDELLÍN","2025-11-29","","633.28741667"
"UNIVERSIDAD DE MEDELLÍN","2025-11-28","","632.70595833"
"UNIVERSIDAD DE MEDELLÍN","2025-11-27","","554.16608333"
"UNIVERSIDAD DE MEDELLÍN","2025-11-26","","631.976375"
"UNIVERSIDAD DE MEDELLÍN","2025-11-25","","632.6785"
"UNIVERSIDAD DE MEDELLÍN","2025-11-24","","633.54525"
"UNIVERSIDAD DE MEDELLÍN","2025-11-23","","632.60175"
"UNIVERSIDAD DE MEDELLÍN","2025-11-22","","632.959375"
"UNIVERSIDAD DE MEDELLÍN","2025-11-21","","633.82275"
"UNIVERSIDAD DE MEDELLÍN","2025-11-20","","633.88895833"
"UNIVERSIDAD DE MEDELLÍN","2025-11-19","","634.13416667"
"UNIVERSIDAD DE MEDELLÍN","2025-11-18","","634.20370833"
"UNIVERSIDAD DE MEDELLÍN","2025-11-17","","634.20404167"
"UNIVERSIDAD DE MEDELLÍN","2025-11-16","","634.84041667"
"UNIVERSIDAD DE MEDELLÍN","2025-11-15","","633.85158333"
"UNIVERSIDAD DE MEDELLÍN","2025-11-14","","634.38445833"
