"Estacion","Fecha inicial","Fecha final","VViento"
"UNIVERSIDAD DE MEDELLÍN","2025-12-31","","0.86613043"
"UNIVERSIDAD DE MEDELLÍN","2025-12-30","","0.96363158"
"UNIVERSIDAD DE MEDELLÍN","2025-12-29","","0.89421429"
"UNIVERSIDAD DE MEDELLÍN","2025-12-28","","0.89966667"
"UNIVERSIDAD DE MEDELLÍN","2025-12-27","","0.84829167"
"UNIVERSIDAD DE MEDELLÍN","2025-12-26","","0.85429167"
"UNIVERSIDAD DE MEDELLÍN","2025-12-25","","0.70533333"
"UNIVERSIDAD DE MEDELLÍN","2025-12-24","","0.787"
"UNIVERSIDAD DE MEDELLÍN","2025-12-23","","0.658375"
"UNIVERSIDAD DE MEDELLÍN","2025-12-22","","0.64975"
"UNIVERSIDAD DE MEDELLÍN","2025-12-19","","0.6975"
"UNIVERSIDAD DE MEDELLÍN","2025-12-12","","0.72509524"
"UNIVERSIDAD DE MEDELLÍN","2025-12-11","","0.80770833"
"UNIVERSIDAD DE MEDELLÍN","2025-12-10","","0.92770833"
"UNIVERSIDAD DE MEDELLÍN","2025-12-09","","0.8615625"
"UNIVERSIDAD DE MEDELLÍN","2025-12-05","","0.67435"
"UNIVERSIDAD DE MEDELLÍN","2025-12-04","","0.90325"
"UNIVERSIDAD DE MEDELLÍN","2025-12-03","","0.94979167"
"UNIVERSIDAD DE MEDELLÍN","2025-12-02","","0.80904167"
"UNIVERSIDAD DE MEDELLÍN","2025-12-01","","0.77979167"
"UNIVERSIDAD DE MEDELLÍN","2025-11-30","","0.687"
"UNIVERSIDAD DE MEDELLÍN","2025-11-29","","0.89816667"
"UNIVERSIDAD DE MEDELLÍN","2025-11-28","","0.73716667"
"UNIVERSIDAD DE MEDELLÍN","2025-11-27","","0.65770833"
"UNIVERSIDAD DE MEDELLÍN","2025-11-26","","0.81579167"
"UNIVERSIDAD DE MEDELLÍN","2025-11-25","","0.58870833"
"UNIVERSIDAD DE MEDELLÍN","2025-11-24","","0.58354167"
"UNIVERSIDAD DE MEDELLÍN","2025-11-23","","0.72558333"
"UNIVERSIDAD DE MEDELLÍN","2025-11-22","","0.80220833"
"UNIVERSIDAD DE MEDELLÍN","2025-11-21","","0.951125"
"UNIVERSIDAD DE MEDELLÍN","2025-11-20","","0.918"
"UNIVERSIDAD DE MEDELLÍN","2025-11-19","","0.76258333"
"UNIVERSIDAD DE MEDELLÍN","2025-11-18","","0.769125"
"UNIVERSIDAD DE MEDELLÍN","2025-11-17","","0.664875"
"UNIVERSIDAD DE MEDELLÍN","2025-11-16","","0.79779167"
"UNIVERSIDAD DE MEDELLÍN","2025-11-15","","0.741875"
"UNIVERSIDAD DE MEDELLÍN","2025-11-14","","0.57708333"
"UNIVERSIDAD DE MEDELLÍN","2025-11-13","","0.74783333"
"UNIVERSIDAD DE MEDELLÍN","2025-11-12","","0.886375"
"UNIVERSIDAD DE MEDELLÍN","2025-11-11","","0.832"
"UNIVERSIDAD DE MEDELLÍN","2025-11-10","","0.77304167"
"UNIVERSIDAD DE MEDELLÍN","2025-11-09","","0.69104167"
"UNIVERSIDAD DE MEDELLÍN","2025-11-08","","0.70904167"
"UNIVERSIDAD DE MEDELLÍN","2025-11-07","","0.84116667"
"UNIVERSIDAD DE MEDELLÍN","2025-11-06","","0.590375"
"UNIVERSIDAD DE MEDELLÍN","2025-11-05","","0.85725"
