"Estacion","Fecha inicial","Fecha final","HAire10"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-10","","85.76240972"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-09","","78.84413889"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-08","","79.37206944"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-07","","78.16466667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-06","","81.89034028"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-05","","77.29482639"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-04","","82.79565278"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-03","","84.58541667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-02","","81.16806944"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-01","","77.80221528"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-31","","76.59963768"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-30","","78.56459722"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-29","","80.81227083"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-28","","83.26333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-27","","78.66732639"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-26","","73.91130556"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-25","","76.00997222"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-24","","65.70905556"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-23","","66.50863889"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-22","","67.8580625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-21","","71.77802083"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-20","","71.37296528"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-19","","70.35014583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-18","","78.87306944"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-17","","81.03541667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-16","","77.8366875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-15","","74.20674306"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-14","","79.18029167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-13","","79.84702778"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-12","","75.94316667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-11","","77.71543056"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-10","","71.09671528"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-09","","71.72759722"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-08","","72.26929167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-07","","75.41392361"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-06","","76.74554861"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-05","","81.72179167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-04","","80.96194444"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-03","","76.74859028"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-02","","71.57674306"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-01","","77.97152778"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-28","","81.52502899"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-27","","74.142125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-26","","76.77405556"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-25","","82.89967032"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-24","","81.60435417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-23","","77.66196528"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-22","","81.5611875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-21","","76.89784028"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-20","","73.63063194"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-19","","77.22944445"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-18","","78.90121528"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-17","","80.75501389"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-16","","80.98257639"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-15","","78.89763194"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-14","","82.50520945"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-13","","80.71806615"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-12","","79.82886806"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-11","","81.60858333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-10","","81.54272917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-09","","84.98793056"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-08","","80.57672917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-07","","80.05786111"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-06","","74.15664583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-05","","82.12686806"
