"Estacion","Fecha inicial","Fecha final","P"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-10","","639.44017775"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-09","","638.74997915"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-08","","638.1785759"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-07","","637.79688673"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-06","","638.08127032"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-05","","638.72491561"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-04","","639.04429232"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-03","","638.31224473"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-02","","637.87201488"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-01","","637.29158852"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-31","","637.15107581"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-30","","637.67680462"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-29","","637.91264482"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-28","","638.23290198"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-27","","637.83392203"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-26","","638.12842794"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-25","","637.24645225"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-24","","636.26872343"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-23","","635.9909144"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-22","","637.15737788"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-21","","638.10495332"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-20","","637.13241853"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-19","","637.84479975"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-18","","639.04177608"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-17","","639.58619863"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-16","","638.75471473"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-15","","637.60008231"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-14","","638.29748583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-13","","638.89075914"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-12","","639.22632221"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-11","","638.44143847"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-10","","638.03225286"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-09","","637.96800241"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-08","","638.62741727"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-07","","639.12594294"
