"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-10","","20.17575"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-09","","21.91575694"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-08","","21.82871528"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-07","","21.7108125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-06","","20.76504861"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-05","","22.00345833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-04","","20.65377778"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-03","","20.8341875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-02","","21.36021528"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-01","","21.80768056"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-31","","21.86884058"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-30","","21.40597917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-29","","20.96384722"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-28","","20.69986806"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-27","","21.89198611"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-26","","22.66439583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-25","","22.28769444"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-24","","24.11820139"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-23","","24.37347222"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-22","","24.19367361"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-21","","23.31348611"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-20","","23.99277083"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-19","","23.46727083"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-18","","21.59103472"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-17","","21.38425695"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-16","","22.00372917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-15","","22.73085417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-14","","21.60276389"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-13","","20.97985417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-12","","21.87916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-11","","21.45136806"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-10","","23.21490278"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-09","","23.55917361"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-08","","22.81986806"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-07","","21.65459028"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-06","","21.65248611"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-05","","21.29934028"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-04","","20.82561111"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-03","","22.00590972"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-02","","22.61025"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-01","","21.61539583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-28","","20.7969058"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-27","","23.28357639"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-26","","22.82811806"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-25","","21.05924196"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-24","","21.42903472"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-23","","22.66626389"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-22","","21.51335417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-21","","22.44059028"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-20","","23.55593056"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-19","","22.44445139"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-18","","21.2495625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-17","","20.22472917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-16","","20.57936111"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-15","","21.10815972"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-14","","20.5166533"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-13","","21.02002157"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-12","","21.1396875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-11","","20.58063889"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-10","","21.24804167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-09","","20.24336111"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-08","","21.24475695"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-07","","21.60113889"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-06","","22.72131944"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-05","","20.8080625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-04","","21.82768056"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-03","","23.1200625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-02","","23.97852778"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-01","","24.35574306"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-31","","24.4810942"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-30","","24.00418055"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-29","","24.73601389"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-28","","24.10118055"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-27","","23.72754861"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-26","","22.61095139"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-25","","23.03936806"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-24","","21.95653472"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-23","","22.74920833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-22","","22.89086806"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-21","","22.87522259"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-20","","22.23275"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-19","","22.24370139"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-18","","22.81519444"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-17","","22.871822"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-16","","23.10644444"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-15","","22.893625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-14","","22.99625694"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-13","","23.46425"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-12","","23.62134028"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-11","","23.669"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-10","","22.85523611"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-09","","21.8015"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-08","","23.45115972"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-07","","22.00335417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-06","","22.63777778"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-05","","20.72434028"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-04","","20.24102778"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-03","","20.40520139"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-02","","21.87289583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-01","","21.86981944"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-31","","21.49478985"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-30","","20.32098611"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-29","","22.15659028"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-28","","21.87801389"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-27","","20.61438889"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-26","","20.81216667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-25","","21.80918056"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-24","","21.01934722"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-23","","22.11201389"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-22","","22.78265278"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-21","","21.93604167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-20","","22.35277083"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-19","","22.04697222"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-18","","24.23696528"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-17","","23.43292361"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-16","","21.49830556"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-15","","20.87480556"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-14","","22.55192361"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-13","","23.03106945"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-12","","22.95385417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-11","","23.15238194"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-10","","23.44618056"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-09","","22.94141667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-08","","22.33370833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-07","","22.60127778"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-06","","22.85449305"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-05","","23.060875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-04","","23.40696528"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-03","","22.93886806"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-02","","22.54847917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-01","","23.92651389"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-30","","24.10058696"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-29","","23.02183333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-28","","23.1583125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-27","","21.986625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-26","","23.93934722"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-25","","23.34495139"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-24","","22.58059722"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-23","","20.52702778"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-22","","20.90317361"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-21","","21.40670139"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-20","","20.35459028"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-19","","20.66141667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-18","","21.01032639"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-17","","21.62528472"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-16","","20.88760417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-15","","20.73697222"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-14","","20.18263194"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-13","","21.5510625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-12","","22.00390972"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-11","","20.283125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-10","","20.68940278"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-09","","20.37013194"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-08","","19.20560417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-07","","21.36359028"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-06","","23.33147222"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-05","","21.93354167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-04","","20.37784722"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-03","","22.56397222"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-02","","22.85563195"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-01","","21.04318056"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-31","","22.26432609"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-30","","22.14047222"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-29","","23.89245833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-28","","24.1754375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-27","","23.83875694"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-26","","24.31311111"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-25","","24.95214722"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-24","","22.55103472"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-23","","22.88890278"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-22","","20.76776389"
