"Estacion","Fecha inicial","Fecha final","P"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-04","","604.96322831"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-03","","604.48451695"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-02","","604.80973889"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-01","","605.04955927"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-31","","605.1703015"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-30","","604.714282"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-26","","603.9194799"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-25","","604.2822372"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-24","","604.29149523"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-23","","604.38479412"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-22","","604.07538002"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-21","","604.67332978"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-20","","604.81939235"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-19","","604.08650601"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-18","","603.07887908"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-17","","603.0701269"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-16","","602.93873468"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-15","","603.38988393"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-14","","603.59835271"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-13","","603.54051011"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-12","","604.23526195"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-11","","604.45458761"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-10","","604.28666021"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-09","","604.6817694"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-08","","604.3110986"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-07","","603.81561535"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-06","","603.58923585"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-05","","603.70752584"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-04","","604.24347233"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-03","","604.81241665"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-02","","604.95606193"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-01","","604.77100526"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-29","","604.14462311"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-28","","603.75603276"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-27","","604.25426669"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-26","","605.24446737"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-25","","605.7341054"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-24","","604.68283216"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-23","","603.9371197"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-22","","604.41148308"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-21","","604.2999031"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-20","","605.32626387"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-19","","605.53374281"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-18","","604.4138691"
