"Estacion","Fecha inicial","Fecha final","HAire10"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-04","","94.23783333"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-03","","88.42401389"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-02","","86.8975625"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-01","","85.10159722"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-31","","86.54745238"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-30","","80.52948276"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-26","","82.25833333"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-25","","83.88122222"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-24","","74.92672493"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-23","","76.94445833"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-22","","70.56207854"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-21","","78.80996528"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-20","","84.60414583"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-19","","78.63816667"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-18","","68.41748611"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-17","","77.58644445"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-16","","71.32361806"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-15","","66.85796528"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-14","","74.42278472"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-13","","75.81160417"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-12","","73.59888194"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-11","","80.97604167"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-10","","70.69633333"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-09","","84.98157639"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-08","","72.82726389"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-07","","72.88535417"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-06","","76.87272222"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-05","","77.94111806"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-04","","79.42321528"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-03","","82.7454375"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-02","","71.90615972"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-01","","73.508375"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-29","","73.45642029"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-28","","73.80435417"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-27","","76.32858333"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-26","","75.56827083"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-25","","73.4719375"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-24","","75.7506875"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-23","","74.17827778"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-22","","79.86432639"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-21","","74.39438194"
