"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-04","","16.51463333"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-03","","17.64344445"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-02","","18.01127083"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-01","","18.63099306"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-31","","18.39282143"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-30","","18.16862069"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-26","","17.4145"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-25","","17.48633333"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-24","","19.86664661"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-23","","20.55447222"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-22","","20.52557902"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-21","","19.30441667"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-20","","18.80286806"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-19","","19.29542361"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-18","","21.69677083"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-17","","20.50738889"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-16","","21.19140278"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-15","","21.642625"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-14","","21.13079861"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-13","","20.7301875"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-12","","21.34415972"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-11","","20.08108333"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-10","","21.03595139"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-09","","18.76257639"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-08","","21.00266667"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-07","","20.75876389"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-06","","19.6595625"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-05","","19.8695625"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-04","","19.25480556"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-03","","17.74692361"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-02","","18.8723125"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-01","","19.75982639"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-29","","19.86712319"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-28","","19.92530556"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-27","","19.174375"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-26","","18.08101389"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-25","","18.57718055"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-24","","18.31466667"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-23","","19.06083333"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-22","","18.66978472"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-21","","18.78763889"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-20","","19.93650694"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-19","","20.61799306"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-18","","21.13870139"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-17","","20.87106944"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-16","","21.43718056"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-15","","20.81451389"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-14","","20.05609028"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-13","","20.46032639"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-12","","20.34001389"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-11","","20.58658333"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-10","","20.12334028"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-09","","19.38983333"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-08","","17.98854167"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-07","","18.7353125"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-06","","17.98898611"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-05","","17.55199306"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-04","","17.26629861"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-03","","17.55722222"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-02","","18.08430556"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-01","","17.64645833"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-31","","20.14122464"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-30","","19.29472222"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-29","","20.01743056"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-28","","19.54053472"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-27","","19.62203472"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-26","","19.63190972"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-25","","19.83015972"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-24","","20.49079861"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-23","","20.67785417"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-22","","20.948375"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-21","","19.96925695"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-20","","19.43311111"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-19","","20.18251389"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-18","","20.8738125"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-17","","20.14384722"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-16","","19.77452083"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-15","","19.91124306"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-14","","19.03231945"
