"Estacion","Fecha inicial","Fecha final","P"
"UNIVERSIDAD CES","2025-05-01","","617.95771905"
"UNIVERSIDAD CES","2025-04-30","","617.7947841"
"UNIVERSIDAD CES","2025-04-29","","618.0400719"
"UNIVERSIDAD CES","2025-04-28","","618.53432491"
"UNIVERSIDAD CES","2025-04-27","","617.88493423"
"UNIVERSIDAD CES","2025-04-26","","617.87516344"
"UNIVERSIDAD CES","2025-04-25","","617.48948973"
"UNIVERSIDAD CES","2025-04-24","","617.72072369"
"UNIVERSIDAD CES","2025-04-23","","617.08808947"
"UNIVERSIDAD CES","2025-04-22","","617.06818113"
"UNIVERSIDAD CES","2025-04-21","","617.14680614"
"UNIVERSIDAD CES","2025-04-20","","617.63497567"
"UNIVERSIDAD CES","2025-04-19","","617.25698611"
"UNIVERSIDAD CES","2025-04-18","","616.86549763"
"UNIVERSIDAD CES","2025-04-17","","617.21672079"
"UNIVERSIDAD CES","2025-04-16","","616.61091217"
"UNIVERSIDAD CES","2025-04-15","","616.86625638"
"UNIVERSIDAD CES","2025-04-14","","617.72291156"
"UNIVERSIDAD CES","2025-04-13","","617.67693485"
"UNIVERSIDAD CES","2025-04-12","","617.5751695"
"UNIVERSIDAD CES","2025-04-11","","618.53038987"
"UNIVERSIDAD CES","2025-04-10","","619.03901783"
"UNIVERSIDAD CES","2025-04-09","","618.42848032"
"UNIVERSIDAD CES","2025-04-08","","617.96840713"
"UNIVERSIDAD CES","2025-04-07","","617.45647276"
"UNIVERSIDAD CES","2025-04-06","","618.13021187"
"UNIVERSIDAD CES","2025-04-05","","618.32735206"
"UNIVERSIDAD CES","2025-04-04","","618.84163892"
"UNIVERSIDAD CES","2025-04-03","","617.94059973"
"UNIVERSIDAD CES","2025-04-02","","617.57143453"
"UNIVERSIDAD CES","2025-04-01","","617.29297948"
"UNIVERSIDAD CES","2025-03-31","","617.65868029"
"UNIVERSIDAD CES","2025-03-30","","617.44959677"
"UNIVERSIDAD CES","2025-03-29","","617.5738466"
"UNIVERSIDAD CES","2025-03-28","","617.72598358"
"UNIVERSIDAD CES","2025-03-27","","617.5742894"
"UNIVERSIDAD CES","2025-03-26","","617.57990018"
"UNIVERSIDAD CES","2025-03-25","","617.7126365"
"UNIVERSIDAD CES","2025-03-24","","616.71801284"
"UNIVERSIDAD CES","2025-03-23","","616.588022"
"UNIVERSIDAD CES","2025-03-22","","616.95622865"
"UNIVERSIDAD CES","2025-03-21","","617.69984684"
"UNIVERSIDAD CES","2025-03-20","","617.32800908"
"UNIVERSIDAD CES","2025-03-19","","617.29861633"
"UNIVERSIDAD CES","2025-03-18","","618.76790031"
"UNIVERSIDAD CES","2025-03-17","","619.31073915"
