"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"UNIVERSIDAD CES","2025-05-01","","18.24735659"
"UNIVERSIDAD CES","2025-04-30","","18.32832497"
"UNIVERSIDAD CES","2025-04-29","","18.2895455"
"UNIVERSIDAD CES","2025-04-28","","17.82642571"
"UNIVERSIDAD CES","2025-04-27","","18.46615493"
"UNIVERSIDAD CES","2025-04-26","","18.66527554"
"UNIVERSIDAD CES","2025-04-25","","17.79985104"
"UNIVERSIDAD CES","2025-04-24","","18.51687797"
"UNIVERSIDAD CES","2025-04-23","","20.18112677"
"UNIVERSIDAD CES","2025-04-22","","18.4875749"
"UNIVERSIDAD CES","2025-04-21","","19.43214527"
"UNIVERSIDAD CES","2025-04-20","","19.15777162"
"UNIVERSIDAD CES","2025-04-19","","21.36408333"
"UNIVERSIDAD CES","2025-04-18","","21.64863194"
"UNIVERSIDAD CES","2025-04-17","","20.388575"
"UNIVERSIDAD CES","2025-04-16","","21.7428972"
"UNIVERSIDAD CES","2025-04-15","","21.08683545"
"UNIVERSIDAD CES","2025-04-14","","21.30734741"
"UNIVERSIDAD CES","2025-04-13","","21.60764583"
"UNIVERSIDAD CES","2025-04-12","","20.16721198"
"UNIVERSIDAD CES","2025-04-11","","18.75387987"
"UNIVERSIDAD CES","2025-04-10","","17.83497226"
"UNIVERSIDAD CES","2025-04-09","","19.24604846"
"UNIVERSIDAD CES","2025-04-08","","19.52189716"
"UNIVERSIDAD CES","2025-04-07","","19.0186281"
"UNIVERSIDAD CES","2025-04-06","","18.5021572"
"UNIVERSIDAD CES","2025-04-05","","19.07283122"
"UNIVERSIDAD CES","2025-04-04","","18.4044945"
"UNIVERSIDAD CES","2025-04-03","","18.49502778"
"UNIVERSIDAD CES","2025-04-02","","18.91252083"
"UNIVERSIDAD CES","2025-04-01","","19.09792361"
"UNIVERSIDAD CES","2025-03-31","","18.448"
"UNIVERSIDAD CES","2025-03-30","","18.28438194"
"UNIVERSIDAD CES","2025-03-29","","18.03935417"
"UNIVERSIDAD CES","2025-03-28","","18.12906944"
"UNIVERSIDAD CES","2025-03-27","","18.97278472"
"UNIVERSIDAD CES","2025-03-26","","19.8903125"
"UNIVERSIDAD CES","2025-03-25","","19.16718056"
"UNIVERSIDAD CES","2025-03-24","","20.88667361"
