"Estacion","Fecha inicial","Fecha final","HAire10"
"UNIVERSIDAD DE MEDELLÍN","2025-12-31","","84.9098"
"UNIVERSIDAD DE MEDELLÍN","2025-12-30","","81.22608333"
"UNIVERSIDAD DE MEDELLÍN","2025-12-29","","87.26272727"
"UNIVERSIDAD DE MEDELLÍN","2025-12-28","","83.33994118"
"UNIVERSIDAD DE MEDELLÍN","2025-12-27","","83.88588235"
"UNIVERSIDAD DE MEDELLÍN","2025-12-26","","82.08847368"
"UNIVERSIDAD DE MEDELLÍN","2025-12-25","","83.95505556"
"UNIVERSIDAD DE MEDELLÍN","2025-12-24","","80.60307143"
"UNIVERSIDAD DE MEDELLÍN","2025-12-23","","86.23625"
"UNIVERSIDAD DE MEDELLÍN","2025-12-22","","76.1031"
"UNIVERSIDAD DE MEDELLÍN","2025-12-19","","88.15116667"
"UNIVERSIDAD DE MEDELLÍN","2025-12-12","","86.31238095"
"UNIVERSIDAD DE MEDELLÍN","2025-12-11","","84.65955556"
"UNIVERSIDAD DE MEDELLÍN","2025-12-10","","82.9637619"
"UNIVERSIDAD DE MEDELLÍN","2025-12-09","","78.0052"
"UNIVERSIDAD DE MEDELLÍN","2025-12-05","","89.24665"
"UNIVERSIDAD DE MEDELLÍN","2025-12-04","","84.91070833"
"UNIVERSIDAD DE MEDELLÍN","2025-12-03","","88.00516667"
"UNIVERSIDAD DE MEDELLÍN","2025-12-02","","87.312"
"UNIVERSIDAD DE MEDELLÍN","2025-12-01","","88.28933333"
"UNIVERSIDAD DE MEDELLÍN","2025-11-30","","81.95543478"
"UNIVERSIDAD DE MEDELLÍN","2025-11-29","","82.797125"
"UNIVERSIDAD DE MEDELLÍN","2025-11-28","","82.04116667"
"UNIVERSIDAD DE MEDELLÍN","2025-11-27","","75.79129167"
"UNIVERSIDAD DE MEDELLÍN","2025-11-26","","78.07204167"
"UNIVERSIDAD DE MEDELLÍN","2025-11-25","","81.14420833"
"UNIVERSIDAD DE MEDELLÍN","2025-11-24","","86.27629167"
"UNIVERSIDAD DE MEDELLÍN","2025-11-23","","82.886375"
"UNIVERSIDAD DE MEDELLÍN","2025-11-22","","77.953"
"UNIVERSIDAD DE MEDELLÍN","2025-11-21","","78.64683333"
"UNIVERSIDAD DE MEDELLÍN","2025-11-20","","87.346125"
"UNIVERSIDAD DE MEDELLÍN","2025-11-19","","82.57070833"
"UNIVERSIDAD DE MEDELLÍN","2025-11-18","","79.86041667"
"UNIVERSIDAD DE MEDELLÍN","2025-11-17","","78.96245833"
"UNIVERSIDAD DE MEDELLÍN","2025-11-16","","89.11745833"
"UNIVERSIDAD DE MEDELLÍN","2025-11-15","","85.82766667"
"UNIVERSIDAD DE MEDELLÍN","2025-11-14","","86.86420833"
"UNIVERSIDAD DE MEDELLÍN","2025-11-13","","85.615"
