"Estacion","Fecha inicial","Fecha final","O3"
"UNIVERSIDAD DE MEDELLÍN","2024-11-19","","58.59669631"
"UNIVERSIDAD DE MEDELLÍN","2024-11-18","","44.62528434"
"UNIVERSIDAD DE MEDELLÍN","2024-11-17","","27.28326924"
"UNIVERSIDAD DE MEDELLÍN","2024-11-16","","18.2460695"
"UNIVERSIDAD DE MEDELLÍN","2024-11-15","","31.27664063"
"UNIVERSIDAD DE MEDELLÍN","2024-11-14","","9.67483121"
"UNIVERSIDAD DE MEDELLÍN","2024-11-13","","14.12598929"
"UNIVERSIDAD DE MEDELLÍN","2024-11-12","","20.79659534"
"UNIVERSIDAD DE MEDELLÍN","2024-11-11","","20.22981182"
"UNIVERSIDAD DE MEDELLÍN","2024-11-10","","32.86254452"
"UNIVERSIDAD DE MEDELLÍN","2024-11-09","","14.7491947"
"UNIVERSIDAD DE MEDELLÍN","2024-11-08","","4.08329378"
"UNIVERSIDAD DE MEDELLÍN","2024-11-07","","35.93922779"
"UNIVERSIDAD DE MEDELLÍN","2024-11-06","","27.24648281"
"UNIVERSIDAD DE MEDELLÍN","2024-11-05","","28.64436716"
"UNIVERSIDAD DE MEDELLÍN","2024-11-04","","12.70358064"
"UNIVERSIDAD DE MEDELLÍN","2024-11-03","","27.1402109"
"UNIVERSIDAD DE MEDELLÍN","2024-11-02","","25.0436248"
"UNIVERSIDAD DE MEDELLÍN","2024-11-01","","13.62795761"
"UNIVERSIDAD DE MEDELLÍN","2024-10-31","","48.91777772"
"UNIVERSIDAD DE MEDELLÍN","2024-10-30","","34.31616589"
"UNIVERSIDAD DE MEDELLÍN","2024-10-29","","25.0834407"
"UNIVERSIDAD DE MEDELLÍN","2024-10-28","","23.00378117"
"UNIVERSIDAD DE MEDELLÍN","2024-10-27","","22.98032315"
"UNIVERSIDAD DE MEDELLÍN","2024-10-26","","30.86492987"
"UNIVERSIDAD DE MEDELLÍN","2024-10-25","","34.99486674"
"UNIVERSIDAD DE MEDELLÍN","2024-10-24","","21.00311565"
"UNIVERSIDAD DE MEDELLÍN","2024-10-23","","28.14298174"
"UNIVERSIDAD DE MEDELLÍN","2024-10-22","","20.22202633"
"UNIVERSIDAD DE MEDELLÍN","2024-10-21","","32.83311538"
"UNIVERSIDAD DE MEDELLÍN","2024-10-20","","26.46988039"
"UNIVERSIDAD DE MEDELLÍN","2024-10-19","","35.30563063"
"UNIVERSIDAD DE MEDELLÍN","2024-10-18","","33.08859447"
"UNIVERSIDAD DE MEDELLÍN","2024-10-17","","27.38872367"
"UNIVERSIDAD DE MEDELLÍN","2024-10-16","","22.65467073"
"UNIVERSIDAD DE MEDELLÍN","2024-10-15","","10.91058278"
"UNIVERSIDAD DE MEDELLÍN","2024-10-14","","43.40159027"
"UNIVERSIDAD DE MEDELLÍN","2024-10-13","","42.63956026"
"UNIVERSIDAD DE MEDELLÍN","2024-10-12","","39.13184406"
"UNIVERSIDAD DE MEDELLÍN","2024-10-11","","42.09593856"
"UNIVERSIDAD DE MEDELLÍN","2024-10-10","","23.9553235"
