"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"UNIVERSIDAD DE MEDELLÍN","2025-12-31","","22.84378261"
"UNIVERSIDAD DE MEDELLÍN","2025-12-30","","23.78215789"
"UNIVERSIDAD DE MEDELLÍN","2025-12-29","","20.33307143"
"UNIVERSIDAD DE MEDELLÍN","2025-12-28","","21.6345"
"UNIVERSIDAD DE MEDELLÍN","2025-12-27","","20.82829167"
"UNIVERSIDAD DE MEDELLÍN","2025-12-26","","20.75983333"
"UNIVERSIDAD DE MEDELLÍN","2025-12-25","","20.49504167"
"UNIVERSIDAD DE MEDELLÍN","2025-12-24","","22.26575"
"UNIVERSIDAD DE MEDELLÍN","2025-12-23","","18.93275"
"UNIVERSIDAD DE MEDELLÍN","2025-12-22","","23.011"
"UNIVERSIDAD DE MEDELLÍN","2025-12-19","","22.3283"
"UNIVERSIDAD DE MEDELLÍN","2025-12-12","","20.49604762"
"UNIVERSIDAD DE MEDELLÍN","2025-12-11","","22.429875"
"UNIVERSIDAD DE MEDELLÍN","2025-12-10","","21.65091667"
"UNIVERSIDAD DE MEDELLÍN","2025-12-09","","23.7436875"
"UNIVERSIDAD DE MEDELLÍN","2025-12-05","","18.69545"
"UNIVERSIDAD DE MEDELLÍN","2025-12-04","","19.90008333"
"UNIVERSIDAD DE MEDELLÍN","2025-12-03","","19.85433333"
"UNIVERSIDAD DE MEDELLÍN","2025-12-02","","19.54558333"
"UNIVERSIDAD DE MEDELLÍN","2025-12-01","","18.92345833"
"UNIVERSIDAD DE MEDELLÍN","2025-11-30","","21.35465217"
"UNIVERSIDAD DE MEDELLÍN","2025-11-29","","20.59458333"
"UNIVERSIDAD DE MEDELLÍN","2025-11-28","","21.06033333"
"UNIVERSIDAD DE MEDELLÍN","2025-11-27","","17.810625"
"UNIVERSIDAD DE MEDELLÍN","2025-11-26","","22.75275"
"UNIVERSIDAD DE MEDELLÍN","2025-11-25","","21.70654167"
"UNIVERSIDAD DE MEDELLÍN","2025-11-24","","20.45508333"
"UNIVERSIDAD DE MEDELLÍN","2025-11-23","","21.47179167"
"UNIVERSIDAD DE MEDELLÍN","2025-11-22","","21.67233333"
"UNIVERSIDAD DE MEDELLÍN","2025-11-21","","20.78395833"
"UNIVERSIDAD DE MEDELLÍN","2025-11-20","","18.95683333"
"UNIVERSIDAD DE MEDELLÍN","2025-11-19","","20.68658333"
"UNIVERSIDAD DE MEDELLÍN","2025-11-18","","20.93441667"
"UNIVERSIDAD DE MEDELLÍN","2025-11-17","","21.48616667"
"UNIVERSIDAD DE MEDELLÍN","2025-11-16","","18.94316667"
"UNIVERSIDAD DE MEDELLÍN","2025-11-15","","20.25520833"
"UNIVERSIDAD DE MEDELLÍN","2025-11-14","","19.88495833"
"UNIVERSIDAD DE MEDELLÍN","2025-11-13","","20.264625"
"UNIVERSIDAD DE MEDELLÍN","2025-11-12","","21.3885"
"UNIVERSIDAD DE MEDELLÍN","2025-11-11","","22.14541667"
"UNIVERSIDAD DE MEDELLÍN","2025-11-10","","21.19458333"
